Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TWinner
RUS,2009,4,12.0,5.5,45.75,40.5,132.25,37.0,39.666666666666664,60.666666666666664,0
RUS,2010,7,7.0,2.857142857142857,58.0,46.857142857142854,119.28571428571429,38.16666666666667,31.714285714285715,67.5,0
RUS,2011,4,7.75,2.25,49.0,41.0,133.25,76.0,47.0,71.0,0
RUS,2013,4,10.25,3.25,41.5,44.75,126.0,16.0,14.0,72.0,0
RUS,2014,5,5.2,4.0,51.2,45.6,128.0,10.8,19.0,61.5,0
SLO,2013,2,13.0,4.5,36.0,42.0,149.0,37.5,24.5,65.0,0
SLO,2014,2,8.0,7.0,43.5,43.5,114.5,23.5,17.5,40.0,0
SRB,2005,1,10.0,6.0,71.0,39.0,143.0,42.0,57.0,76.0,0
SRB,2006,2,7.5,1.5,41.5,39.5,139.5,45.0,29.0,71.0,0
SRB,2007,4,8.0,1.25,53.75,49.25,100.5,34.75,26.0,70.25,0
SRB,2008,9,11.11111111111111,3.5555555555555554,54.22222222222222,44.55555555555556,113.88888888888889,38.111111111111114,30.666666666666668,73.55555555555556,1
SRB,2009,6,9.333333333333334,2.3333333333333335,52.333333333333336,43.5,125.33333333333333,33.25,30.0,65.75,0
SRB,2010,6,9.166666666666666,5.0,48.5,48.166666666666664,111.0,33.75,24.5,66.25,0
SRB,2011,10,8.6,2.3,42.2,46.2,103.5,30.571428571428573,25.857142857142854,66.71428571428571,1
SRB,2012,10,12.4,2.5,49.0,47.3,130.8,37.3,29.1,70.875,1
SRB,2013,10,9.6,1.8,46.0,41.0,127.0,42.3,34.6,71.3,1
SRB,2014,5,8.4,2.4,54.6,44.8,104.8,32.4,28.4,68.6,0
SUI,2004,7,10.857142857142858,2.5714285714285716,46.285714285714285,43.857142857142854,103.14285714285714,40.285714285714285,30.714285714285715,74.57142857142857,1
SUI,2005,5,8.8,1.2,51.8,45.8,93.8,41.0,21.2,68.2,0
SUI,2006,8,7.625,2.625,51.375,43.75,118.25,43.0,34.75,72.875,1
SUI,2007,9,9.777777777777779,1.5555555555555556,58.22222222222222,47.22222222222222,104.77777777777777,41.44444444444444,25.333333333333332,74.44444444444444,1
SUI,2008,5,16.2,0.8,47.4,45.8,118.8,55.6,27.4,69.2,0
SUI,2009,8,10.25,2.875,53.125,43.375,110.5,39.714285714285715,24.714285714285715,68.28571428571428,0
SUI,2010,10,8.0,2.5,50.7,42.6,108.2,37.9,33.8,70.6,1
SUI,2011,9,10.444444444444445,1.4444444444444444,43.111111111111114,43.0,108.88888888888889,43.55555555555556,30.88888888888889,70.0,0
SUI,2012,6,7.833333333333333,2.3333333333333335,53.166666666666664,46.333333333333336,113.0,41.0,30.5,64.5,0
SUI,2013,8,8.75,2.5,33.25,38.875,110.875,33.875,27.75,80.14285714285714,0
SUI,2014,11,11.454545454545455,2.3636363636363638,37.18181818181818,40.45454545454545,115.45454545454545,46.90909090909091,35.0,77.27272727272727,1
SVK,2004,4,5.25,4.75,60.0,50.0,99.5,24.0,34.25,67.75,0
SVK,2005,6,10.5,6.833333333333333,50.0,46.333333333333336,128.83333333333334,42.333333333333336,46.333333333333336,77.0,0
SVK,2006,3,10.0,8.333333333333334,31.0,44.333333333333336,172.0,47.333333333333336,51.333333333333336,66.66666666666667,0
SVK,2007,2,6.5,6.0,35.0,45.5,154.5,48.0,60.5,74.5,0
SVK,2012,2,18.0,2.5,39.0,37.5,126.5,36.0,21.0,82.0,0
SVK,2014,2,12.5,3.5,38.0,37.5,105.0,21.5,7.5,33.0,0
SWE,2004,5,11.0,7.6,38.4,36.8,132.0,52.0,51.6,65.2,0
SWE,2005,6,22.333333333333332,4.333333333333333,45.0,36.0,145.0,60.166666666666664,50.5,73.0,0
SWE,2006,3,11.333333333333334,2.6666666666666665,38.666666666666664,41.666666666666664,119.33333333333333,39.0,35.666666666666664,80.0,0
SWE,2007,2,8.0,4.5,60.0,43.5,138.5,47.5,48.5,65.5,0
SWE,2011,3,9.333333333333334,2.6666666666666665,62.666666666666664,43.333333333333336,93.66666666666667,36.666666666666664,21.666666666666668,75.66666666666667,0
THA,2004,3,7.0,2.3333333333333335,68.66666666666667,39.333333333333336,77.0,33.0,16.666666666666668,75.66666666666667,0
THA,2005,1,9.0,2.0,32.0,39.0,121.0,45.0,57.0,55.0,0
THA,2007,2,5.0,9.5,40.0,47.5,135.0,38.0,45.0,86.0,0
TPE,2006,1,4.0,2.0,35.0,49.0,97.0,20.0,18.0,70.0,0
TPE,2007,1,5.0,6.0,55.0,46.0,92.0,33.0,36.0,75.0,0
TPE,2009,2,9.0,3.5,78.5,37.5,134.0,51.0,60.0,69.0,0
UKR,2011,7,11.285714285714286,3.4285714285714284,54.857142857142854,46.0,107.42857142857143,39.666666666666664,23.666666666666664,59.66666666666667,0
UKR,2012,3,14.666666666666666,4.666666666666667,40.333333333333336,44.0,160.0,40.0,38.666666666666664,70.0,0
UKR,2014,1,7.0,4.0,31.0,43.0,114.0,37.0,31.0,100.0,0
USA,2004,22,12.681818181818182,3.909090909090909,48.81818181818182,44.36363636363637,102.54545454545455,39.40909090909091,25.318181818181817,68.22727272727273,0
USA,2005,17,11.588235294117647,3.823529411764706,48.11764705882353,45.529411764705884,112.41176470588235,37.8235294117647,26.235294117647058,64.76470588235294,0
USA,2006,8,7.75,3.25,54.375,47.875,104.125,33.0,23.375,65.875,0
USA,2007,19,13.31578947368421,2.473684210526316,47.526315789473685,42.1578947368421,118.05263157894737,44.63157894736842,29.789473684210527,67.55555555555556,0
USA,2008,14,9.0,3.642857142857143,48.642857142857146,43.785714285714285,121.5,35.5,23.25,71.0,0
USA,2009,10,13.0,2.9,46.6,44.6,107.3,38.22222222222222,23.11111111111111,65.66666666666667,0
USA,2010,11,17.09090909090909,2.3636363636363638,44.0,38.18181818181818,122.36363636363636,48.0,22.09090909090909,63.875,0
USA,2011,8,16.5,3.875,58.75,39.0,115.0,46.285714285714285,31.57142857142857,71.0,0
USA,2012,7,15.857142857142858,3.5714285714285716,45.857142857142854,41.285714285714285,113.85714285714286,31.142857142857142,22.714285714285715,63.0,0
USA,2013,6,11.666666666666666,2.0,39.5,36.5,119.33333333333333,21.666666666666668,19.0,57.333333333333336,0
USA,2014,5,13.0,8.0,44.4,38.4,127.6,34.8,37.8,68.75,0
